measured_on,ambient_temperature_o_149575,wind_speed_o_149576,wind_direction_o_149577
2020-01-01 00:00:00,44.3,2.3,196.0
2020-01-01 00:15:00,44.3,2.3,196.0
2020-01-01 00:30:00,44.3,2.3,196.0
2020-01-01 00:45:00,44.3,2.3,196.0
2020-01-01 01:00:00,43.6,2.1,290.0
2020-01-01 01:15:00,43.6,2.1,290.0
2020-01-01 01:30:00,43.6,2.1,290.0
2020-01-01 01:45:00,43.6,2.1,290.0
2020-01-01 02:00:00,44.3,2.4,75.0
2020-01-01 02:15:00,44.3,2.4,75.0
2020-01-01 02:30:00,44.3,2.4,75.0
2020-01-01 02:45:00,44.3,2.4,75.0
2020-01-01 03:00:00,44.4,2.2,197.0
2020-01-01 03:15:00,44.4,2.2,197.0
2020-01-01 03:30:00,44.4,2.2,197.0
2020-01-01 03:45:00,44.4,2.2,197.0
2020-01-01 04:00:00,43.7,1.9,21.0
2020-01-01 04:15:00,43.7,1.9,21.0
2020-01-01 04:30:00,43.7,1.9,21.0
2020-01-01 04:45:00,43.7,1.9,21.0
2020-01-01 05:00:00,44.2,2.6,38.0
2020-01-01 05:15:00,44.2,2.6,38.0
2020-01-01 05:30:00,44.2,2.6,38.0
2020-01-01 05:45:00,44.2,2.6,38.0
2020-01-01 06:00:00,44.5,1.8,202.0
2020-01-01 06:15:00,44.5,1.8,202.0
2020-01-01 06:30:00,44.5,1.8,202.0
2020-01-01 06:45:00,44.5,1.8,202.0
2020-01-01 07:00:00,42.5,2.3,241.0
2020-01-01 07:15:00,42.5,2.3,241.0
2020-01-01 07:30:00,42.5,2.3,241.0
2020-01-01 07:45:00,42.5,2.3,241.0
2020-01-01 08:00:00,44.8,4.9,350.0
2020-01-01 08:15:00,44.8,4.9,350.0
2020-01-01 08:30:00,44.8,4.9,350.0
2020-01-01 08:45:00,44.8,4.9,350.0
2020-01-01 09:00:00,49.5,1.9,3.0
2020-01-01 09:15:00,49.5,1.9,3.0
2020-01-01 09:30:00,49.5,1.9,3.0
2020-01-01 09:45:00,49.5,1.9,3.0
2020-01-01 10:00:00,49.7,2.6,72.0
2020-01-01 10:15:00,49.7,2.6,72.0
2020-01-01 10:30:00,49.7,2.6,72.0
2020-01-01 10:45:00,49.7,2.6,72.0
2020-01-01 11:00:00,52.0,4.6,1.0
2020-01-01 11:15:00,52.0,4.6,1.0
2020-01-01 11:30:00,52.0,4.6,1.0
2020-01-01 11:45:00,52.0,4.6,1.0
2020-01-01 12:00:00,52.8,6.9,1.0
2020-01-01 12:15:00,52.8,6.9,1.0
2020-01-01 12:30:00,52.8,6.9,1.0
2020-01-01 12:45:00,52.8,6.9,1.0
2020-01-01 13:00:00,53.7,4.0,357.0
2020-01-01 13:15:00,53.7,4.0,357.0
2020-01-01 13:30:00,53.7,4.0,357.0
2020-01-01 13:45:00,53.7,4.0,357.0
2020-01-01 14:00:00,56.3,2.4,36.0
2020-01-01 14:15:00,56.3,2.4,36.0
2020-01-01 14:30:00,56.3,2.4,36.0
2020-01-01 14:45:00,56.3,2.4,36.0
2020-01-01 15:00:00,54.6,2.6,206.0
2020-01-01 15:15:00,54.6,2.6,206.0
2020-01-01 15:30:00,54.6,2.6,206.0
